zip_code,latitude,longitude,city,state,county,community,estimated median income
90064.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Cheviot Hills, Rancho Park)","$95,865 "
90065.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Cypress Park, Glassell Park, Mt Washington)","$63,147 "
90066.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Culver City, Los Angeles (Mar Vista)","$79,088 "
90067.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (Century City),"$129,306 "
90068.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (Hollywood),"$83,756 "
90069.0,33.786594,-118.29866200000001,West Hollywood,CA,Los Angeles,"Los Angeles (Hollywood, Melrose), West Hollywood","$92,952 "
90077.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,"Los Angeles (Bel Air Estates, Beverly Glen)","$210,833 "
90094.0,33.786594,-118.29866200000001,Los Angeles,CA,Los Angeles,Los Angeles (Playa Vista),"$146,325 "
90201.0,33.976663,-118.168903,Bell,CA,Los Angeles,"Bell, Bell Gardens, Cudahy","$42,255 "
90210.0,33.786594,-118.29866200000001,Beverly Hills,CA,Los Angeles,Beverly Hills,"$143,542 "
90211.0,33.786594,-118.29866200000001,Beverly Hills,CA,Los Angeles,Beverly Hills,"$82,212 "
90212.0,33.786594,-118.29866200000001,Beverly Hills,CA,Los Angeles,Beverly Hills,"$93,846 "
90220.0,33.874815000000005,-118.24020800000001,Compton,CA,Los Angeles,"Compton, Rancho Dominguez","$53,988 "
90221.0,33.879565,-118.21681000000001,Compton,CA,Los Angeles,"Compton, East Rancho Dominguez","$48,762 "
90222.0,33.909915000000005,-118.235654,Compton,CA,Los Angeles,"Compton, Rosewood, Willowbrook","$45,689 "
90230.0,33.786594,-118.29866200000001,Culver City,CA,Los Angeles,Culver City,"$80,677 "
90232.0,33.786594,-118.29866200000001,Culver City,CA,Los Angeles,Culver City,"$82,164 "
90240.0,33.946363,-118.11946100000002,Downey,CA,Los Angeles,Downey,"$82,722 "
